Agency,Avg_Population_2017,Avg_Yearly_Household_Income_2017
Agency_05,3044268,182944
Agency_02,3137874,240809
Agency_55,2025793,238553
Agency_53,1729177,111048
Agency_50,2057678,144594
Agency_07,1868030,175785
Agency_49,1880416,154532
Agency_46,1709754,212229
Agency_60,2180611,211936
Agency_57,2212416,187351
Agency_51,1750152,238870
Agency_14,2073615,204289
Agency_06,2104390,228353
Agency_56,1901290,206553
Agency_12,1596955,205376
Agency_38,1515841,173884
Agency_48,1739969,210213
Agency_10,1716027,117463
Agency_20,1825752,102317
Agency_09,1646094,213511
Agency_27,1588818,218862
Agency_41,1573238,125229
Agency_58,1620969,105857
Agency_59,1219986,218902
Agency_03,1538040,217280
Agency_16,1232242,246911
Agency_32,1199179,126063
Agency_39,1448423,131411
Agency_13,1520066,110666
Agency_30,1094349,247220
Agency_31,181063,102731
Agency_52,149811,131764
Agency_45,176318,137609
Agency_15,200260,104564
Agency_42,175794,110057
Agency_01,153733,120207
Agency_40,143299,137912
Agency_11,135561,100461
Agency_43,184082,106262
Agency_17,147910,123013
Agency_28,68666,133669
Agency_08,71662,123610
Agency_18,60189,135477
Agency_04,50753,117957
Agency_54,48332,122313
Agency_19,48146,122042
Agency_23,49101,90240
Agency_22,48151,132110
Agency_24,42122,93027
Agency_25,53598,95032
Agency_37,32769,96761
Agency_33,39719,91375
Agency_26,32267,91330
Agency_21,26635,130092
Agency_44,31613,121781
Agency_47,32183,128574
Agency_29,28329,93614
Agency_35,14138,93105
Agency_36,13110,94238
Agency_34,12271,97222
