YearMonth,Easter Day,Good Friday,New Year,Christmas,Labor Day,Independence Day,Revolution Day Memorial,Regional Games ,FIFA U-17 World Cup,Football Gold Cup,Beer Capital,Music Fest
201301,0,0,1,0,0,0,0,0,0,0,0,0
201302,0,0,0,0,0,0,0,0,0,0,0,0
201303,1,1,0,0,0,0,0,0,0,0,0,1
201304,0,0,0,0,0,0,0,0,0,0,0,0
201305,0,0,0,0,1,0,0,0,0,0,0,0
201306,0,0,0,0,0,0,0,0,0,0,0,0
201307,0,0,0,0,0,0,0,0,0,0,0,0
201308,0,0,0,0,0,0,0,0,0,0,0,0
201309,0,0,0,0,0,1,0,0,0,0,0,0
201310,0,0,0,0,0,0,0,0,0,0,1,0
201311,0,0,0,0,0,0,1,0,0,0,0,0
201312,0,0,0,1,0,0,0,0,0,0,0,0
201401,0,0,1,0,0,0,0,0,0,0,0,0
201402,0,0,0,0,0,0,0,0,0,0,0,0
201403,0,0,0,0,0,0,0,0,0,0,0,1
201404,1,1,0,0,0,0,0,0,0,0,0,0
201405,0,0,0,0,1,0,0,0,0,0,0,0
201406,0,0,0,0,0,0,0,0,0,0,0,0
201407,0,0,0,0,0,0,0,0,0,0,0,0
201408,0,0,0,0,0,0,0,0,0,0,0,0
201409,0,0,0,0,0,1,0,0,0,0,0,0
201410,0,0,0,0,0,0,0,0,0,0,1,0
201411,0,0,0,0,0,0,1,1,0,0,0,0
201412,0,0,0,1,0,0,0,0,0,0,0,0
201501,0,0,1,0,0,0,0,0,0,0,0,0
201502,0,0,0,0,0,0,0,0,0,0,0,0
201503,0,0,0,0,0,0,0,0,0,0,0,1
201504,1,1,0,0,0,0,0,0,0,0,0,0
201505,0,0,0,0,1,0,0,0,0,0,0,0
201506,0,0,0,0,0,0,0,0,0,0,0,0
201507,0,0,0,0,0,0,0,0,0,0,0,0
201508,0,0,0,0,0,0,0,0,0,0,0,0
201509,0,0,0,0,0,1,0,0,0,0,0,0
201510,0,0,0,0,0,0,0,0,0,0,0,0
201511,0,0,0,0,0,0,1,0,0,0,1,0
201512,0,0,0,1,0,0,0,0,0,0,0,0
201601,0,0,1,0,0,0,0,0,0,0,0,0
201602,0,0,0,0,0,0,0,0,0,0,0,0
201603,1,1,0,0,0,0,0,0,0,0,0,0
201604,0,0,0,0,0,0,0,0,0,0,0,1
201605,0,0,0,0,1,0,0,0,0,0,0,0
201606,0,0,0,0,0,0,0,0,0,0,0,0
201607,0,0,0,0,0,0,0,0,0,0,0,0
201608,0,0,0,0,0,0,0,0,0,0,0,0
201609,0,0,0,0,0,1,0,0,0,0,0,0
201610,0,0,0,0,0,0,0,0,0,0,0,0
201611,0,0,0,0,0,0,1,0,0,0,1,0
201612,0,0,0,1,0,0,0,0,0,0,0,0
201701,0,0,1,0,0,0,0,0,0,0,0,0
201702,0,0,0,0,0,0,0,0,0,0,0,0
201703,0,0,0,0,0,0,0,0,0,0,0,1
201704,1,1,0,0,0,0,0,0,0,0,0,0
201705,0,0,0,0,1,0,0,0,0,0,0,0
201706,0,0,0,0,0,0,0,0,0,0,0,0
201707,0,0,0,0,0,0,0,0,0,0,0,0
201708,0,0,0,0,0,0,0,0,0,0,0,0
201709,0,0,0,0,0,1,0,0,0,0,0,0
201710,0,0,0,0,0,0,0,0,0,0,0,0
201711,0,0,0,0,0,0,1,0,0,0,1,0
201712,0,0,0,1,0,0,0,0,0,0,0,0
201801,0,0,1,0,0,0,0,0,0,0,0,0
