YearMonth,Soda_Volume
201301,718394219
201302,753938444
201303,892192092
201304,838099501
201305,864420003
201306,889520921
201307,869768947
201308,757916529
201309,789624076
201310,791658684
201311,806253783
201312,785511080
201401,763723622
201402,734443953
201403,828278650
201404,873734739
201405,887472626
201406,865152191
201407,837253085
201408,867388593
201409,767383003
201410,790867324
201411,715784335
201412,696401477
201501,762225057
201502,717053984
201503,871204688
201504,860265890
201505,927833877
201506,899297932
201507,897112934
201508,875384686
201509,742568762
201510,761469815
201511,798860058
201512,822672453
201601,787479774
201602,729418593
201603,852685632
201604,864686985
201605,953568835
201606,912787084
201607,938467950
201608,930171702
201609,904326556
201610,889355958
201611,883100473
201612,890156001
201701,845614054
201702,850913048
201703,886129111
201704,940912941
201705,917412482
201706,928366256
201707,926635433
201708,1049868815
201709,984438234
201710,996763883
201711,967899589
201712,919709619
